1600,1000

-- smaller rectangle
285,665, 320,665, 320,655, 285,655 -- top left
366,665, 575,665, 575,655, 366,655 -- top right
565,655, 575,655, 575,369, 565,369 -- right
285,374, 463,374, 463,364, 285,364 -- bottom left
510,374, 575,374, 575,364, 510,364 -- bottom right
285,655, 295,655, 295,374, 285,374 -- left


-- bigger rectangle
525, 755, 625, 755, 625, 745, 525, 745 -- top left
670, 755, 965, 755, 965, 745, 670, 745 -- top middle
1015,755, 1215,755, 1215,745, 1015,745 -- top right
1205,745, 1215,745, 1215,380, 1205,380 -- right top
1205,330, 1215,330, 1215,100, 1205,100 -- right bottom
525, 110, 1215,110, 1215,100, 525, 100 -- bottom
525, 745, 535, 745, 535, 665, 525, 665 -- left top
525, 364, 535, 364, 535, 350, 525, 350 -- left middle
525, 305, 535, 305, 535, 110, 525, 110 -- left bottom

-- columns
790,640, 830,640, 830,600, 790,600 -- top
790,540, 830,540, 830,500, 790,500 -- middle top
790,440, 830,440, 830,400, 790,400 -- middle bottom
790,340, 830,340, 830,300, 790,300 -- bottom
