1000,800
99, 164, 99, 179, 389, 179, 389, 164

99, 177, 99, 423, 119, 423, 119, 177

369, 250, 369, 409, 388, 409, 388, 250

389, 250, 389, 267, 508, 267, 508, 250

490, 266, 490, 311, 509, 311, 509, 266

490, 312, 490, 328, 588, 328, 588, 312

572, 252, 572, 312, 588, 312, 588, 252

372, 99, 372, 162, 387, 162, 387, 99

372, 85, 372, 99, 461, 99, 461, 85

478, 173, 478, 192, 882, 192, 882, 173

166, 438, 166, 455, 320, 455, 320, 438

329, 253, 329, 348, 342, 348, 342, 253

294, 252, 294, 349, 307, 349, 307, 252

252, 252, 252, 347, 269, 347, 269, 252

860, 237, 860, 435, 880, 435, 880, 237

862, 194, 862, 217, 882, 217, 882, 194

441, 362, 441, 391, 470, 391, 470, 362

462, 85, 462, 127, 477, 127, 477, 85

462, 148, 462, 183, 478, 183, 478, 148

694, 413, 694, 433, 841, 433, 841, 413

507, 412, 507, 433, 591, 433, 591, 412

347, 507, 347, 527, 750, 527, 750, 507

337, 574, 337, 598, 753, 598, 753, 574

243, 534, 243, 566, 276, 566, 276, 534

809, 534, 809, 569, 841, 569, 841, 534

